PROJECT_NUMBER,ABSTRACT_TEXT1
1 ZIA AI001040-06,"The introduction of HIV antiretroviral medication (ARVs) in Africa has resulted in substantial reductions in morbidity and mortality. This project is studying the impact of ARVs on community level incidence in the Rakai Community Cohort Study in Uganda, the impact of ARVs on HIV transmission among HIV discordant couples, impact of immunologic monitoring and potential delays in detecting virologic failure on genotypic antiretroviral resistance, and the role of suppressive acyclovir therapy in HSV-2/HIV-1 co-infected individuals on HIV-1 disease progression. We have shown complete elimination of transmission among discordant couples on ARVs and continue to scale up treatment.  We have observed declining incidence among Rakai cohort participants since the introduction of ARVs and safe male circumcision with an even greater decline among men (benefiting from both MMC and exposure to female partners on treatment) supporting the current scale up of combination HIV prevention.  One concern with increased use of ARVs in sub-Saharan Africa is the extent by which viral resistance will develop over time among the non-clade B HIV-1-infected individuals. We analyzed antiretroviral drug susceptibility in HIV from 38 participants failing first and second line antiretroviral treatment (ART) regimens in Rakai, Uganda. At baseline, four (13%) of 31 participants had mutations associated with resistance to either nucleoside or non-nucleoside reverse transcriptase inhibitors (NRTIs or NNRTIs). Most participants failing first-line ART had mutations to NNRTIs (86%) and lamivudine (81%), but only 22% had other NRTI mutations. None of the six participants failing a second-line protease inhibitor (PI)-based regimen had PI resistance mutations. Six (16%) of the participants had discordant genotypic and phenotypic test results.  Concern has also been raised regarding the potential impact of hormonal contraception and the risk of virologic failure in women.  Consistent with current World Health Organization guidelines, we found no deleterious effect of injectable contraceptive use on response to ART in our cohort.    Viral load monitoring (VLM) to identify individuals failing ART is not widely available in resource-limited settings; most programs use clinical or immunological monitoring (IM) only. We compared the genotypic resistance patterns between patients with VLM to those with IM in Kampala, Uganda. 559 antiretroviral naive clients were enrolled in a prospective cohort, initiated ART, and monitored with viral load and CD4+ cell counts every 6 months (VLM group). From February 2008 through June 2009, 998 clients on ART for 36-40 months and immunologically monitored with CD4+ cell counts every 6 months were recruited into a cross sectional study (IM group). Virologic failure rates at 12, 24 and 36 months in the VLM group were 12%, 6% and 8% respectively, and 10% in the IM group at 36-40 months. 59% patients in the VLM group compared to 90% in the IM group, (P<0.0001) had at least 1 non-nucleoside reverse transcriptase mutation. Routine viral load monitoring during the first 3 years of ART reduced the rate of accumulated genotypic resistance to commonly used ART in Uganda. Early viral load monitoring may also offer an additional tool to improve adherence and reduce the risk of virologic failure.  Of 1,841 patients with at least 48 weeks of follow-up, 1,699 (92%) had an undetectable VL at 24 weeks (early suppressors).  Of the remaining 142 (8%) patients who had a detectable VL at 24 weeks, 60% of whom went on to be undetectable at 48 weeks (late suppressors). The majority of late suppressors (84%) remained suppressed well beyond 48 weeks.  Variables significantly predicting non-suppression by 48 weeks included: 24 week VL>2,000 copies/ml (OR=7.9; 95% CI 3.6-17.4) and age <30 (OR=2.8; 95% CI 1.3-6.2). The majority of patients with detectable VL at 24 weeks went on to full suppression which remained durable well beyond 48 weeks.     We have continued to ex"
1 ZIA BC010297-16,"The goal of this project is to identify genetic and epigenetic factors contributing to human infectious diseases. HIV, EBV, and the hepatitis C virus (HCV) and hepatitis B virus (HBV) contribute to AIDS-associated malignancies, nasopharyngeal carcinoma (NPC) and hepatocellular carcinoma (HCC), respectively. Little is understood about the interplay between chronic viral infection and host genetic variation leading to pathogenic outcomes in persons infected with these viruses. Genome wide association studies (GWAS) have revealed that HLA class I alleles are most strongly associated with HBV clearance, HIV control of viral load, and with NPC. However, HLA explains only a small fraction of the variance for these infections and cancers. In addition, with advancing age of the HIV-infected population, diseases commonly associated with aging and affecting all organ systems are appearing at younger ages. We are embarking on genetic association studies to identify correlates of eye disease in the Longitudinal Study of Ocular Complications with AIDS (LSOCA) and of HIV-associated non-AIDS serious diseases in longitudinal natural and treated cohorts. Our laboratory is moving to integrate epigenetic signatures, gene expression, and results of GWAS and pathway analysis in a systems-based approach to further define genes and pathways important in the pathophysiology and carcinogenesis of infectious diseases. Accomplishments 1. Pneumocystis pneumonia (PCP) is a major AIDS-defining condition and a common complication of immunosuppression. Chromosome 3p21-22 harbors two clusters of chemokine receptor genes, several of which serve as major or minor coreceptors of HIV-1. We resequenced 7 chemokine receptors in 144 individuals representing extreme phenotypes for HIV progression and infection; six codon-changing SNPs were discovered. We identified a non-conservative amino acid change in CCRL2 (Y167F) associated with more rapid progression to AIDS defining conditions, and specifically to the AIDS-defining condition PCP. CCRL2 is involved in lung dendritic cell trafficking and may affect PCP by inducing inflammation. This is the first genetic association with a major AIDS defining condition and brings renewed attention to the chemokine-chemokine receptor nexus in HIV pathogenesis. Highlighting the role of inflammation may lead to better therapeutic options for persons presenting with PCP infection. The results of this study were published in PLoS Genetics. 2. GWAS is an agnostic, unbiased method for detecting genetic factors associated with disease and traits. Because of the large number of tests, rigorous criteria for genome wide significance (by convention, p&lt;5 x 10-8) and independent replication are critical to avoid false positive associations. Since the number of persons with longitudinal clinical and laboratory data for infectious diseases is generally limited, the discovery of genetic factors associated with infectious disease phenotypes is problematic. To overcome this barrier, we have joined forces with the International HIV Consortium to contribute genotype-phenotypes from over 1000 HIV-infected participants with longitudinal follow-up for a meta-analysis. We are also part of the analytical team for viral load and CD4 T cell trajectories for this international collaboration. We are currently in the process of rigorous quality control (QC) for the genotype calls for three previous CCR GWAS for HBV and HIV clinical outcomes and for NPC. Using the ISHAPE software, we have determined the haplotype structure of participants enrolled in the NPC, HIV, and HBV studies with GWAS data. The next step will be to impute SNPs not represented on the Affymetric chip using data from the International HapMap Program and the 1000 Genome Project representing the major continental populations. With the enriched SNPs, we will reanalyze the data for association with multiple phenotypes using the 5 natural history cohorts and the LSOCA cohort, including HIV-asso"
1 ZIA BC010791-07,"Variation within the HLA class I genes of the MHC has the greatest impact on outcome after HIV infection relative to the rest of the genome. The first HIV GWAS identified a genome-wide significant effect of rs9264942 on HIV set point viral load that was independent of all other significant hits in the region, a finding that was confirmed in subsequent studies comparing HIV controllers to noncontrollers. This variant is located 35 Kb upstream of the HLA-C locus, and is in strong linkage disequilibrium (LD) with the HLA-C coding region in people of European descent, but not in those of African ancestry. It is also associated with levels of HLA-C expression. We subsequently identified a microRNA (miRNA) binding site in the 3'untranslated region (3'UTR) of HLA-C, which is polymorphic and likely explains the differential cell surface expression of HLA-C across the various allotypes. Variation in this binding site is in near perfect linkage disequilibrium with rs9264942. We also showed that the variation in the miR binding site associates strongly with HIV viral load control. These findings are significant because prior to this, variation within the HLA-C locus was not considered to be much of a driving force in HIV restriction. Individual allelic effects of HLA-C are minimal in comparison to those at HLA-B. However, unlike HLA-B and HLA-A, HLA-C molecules are not down-regulated by HIV Nef, which allows ""normal"" recognition of infected cells by CTL restricted by HLA-C molecules. There still remains the question as to whether or not HLA-C expression levels have a direct influence on HIV control. If this is indeed the case, then we expect to observe the effect across ethnic groups, despite their distinct HLA-C allele frequencies and linkage disequilibrium (LD) relationships with HLA-A and -B alleles. In order to address this issue we characterized the differential cell surface expression levels of all common HLA-C allotypes and tested directly for effects of HLA-C expression on outcomes of HIV infection in over 5000 individuals. Increasing HLA-C expression was associated with protection against multiple outcomes independently of individual HLA allelic effects in both African and European Americans, regardless of their distinct HLA-C frequencies and linkage relationships with HLA-B and HLA-A. Further, higher HLA-C expression was correlated with increased likelihood of cytotoxic T lymphocyte responses and frequency of viral escape mutation. The effect of HLA-C expression level in HIV disease raises the possibility of its involvement in the risk of other human diseases. We tested this possibility in case-control cohorts of two inflammatory bowel diseases (IBD): Crohn's disease (CD) and ulcerative colitis (UC). High HLA-C expression had a deleterious effect in Crohn's disease, suggesting a broader influence of HLA expression levels in human disease. Thus, the complexity of HLA effects in disease pathogenesis go beyond peptide specificity to include the strength of immune responses as dictated by levels of HLA expression. Comparing the frequency differences between common DNA variants in disease-affected cases and in unaffected controls has been successful in uncovering the genetic component of multiple diseases. Multiple GWAS have been performed in HIV-1 infected individuals, identifying common genetic influences on viral control and disease course. We were part of a large collaborative network of cohorts and institutions involved in HIV-1 host genetic studies that sought to test for common genetic polymorphisms that influence HIV-1 acquisition. Genome-wide SNP data on over 6,300 HIV-1 infected patients of European ancestry was combined for this analysis. After imputation using the 1,000 Genomes Project reference panel, approximately 8 million common DNA variants (SNPs and indels) were tested for association with HIV-1 acquisition in 6,334 infected patients and 7,247 population samples of European ancestry. Initial association testing ide"
1 ZIA BC010792-07,"Leukocyte immunoglobulin-like receptor (LILR) B3 and LILRA6 represent a pair of inhibitory/activating receptors with identical extracellular domains and unknown ligands. LILRB3 can mediate inhibitory signaling via immunoreceptor tyrosine-based inhibition motifs (ITIMs) in its cytoplasmic tail whereas LILRA6 can signal through association with an activating adaptor molecule, FcRgamma, which bears a cytoplasmic tail with an immunoreceptor tyrosine-based activation motif (ITAM). The receptors are encoded by two highly polymorphic neighboring genes within the Leukocyte Receptor Complex (LRC) on human chromosome 19. We undertook a comprehensive genetic analysis of the LILRB3/A6 locus and investigated gene-specific expression. The data confirm the presence of high levels of non-synonymous variation in both genes with the majority of polymorphic sites being identical. In addition, the LILRA6 gene exhibits copy number variation (CNV) whereas LILRB3 does not. A screen of healthy Caucasians indicated that 32% of the subjects possessed more than 2 copies of LILRA6, whereas 4% have only one copy of the gene per diploid genome. Thus it is apparent that this locus has been subjected to non-allelic homologous recombination (NAHR) over time, resulting in variable copy numbers of the activating LILRA6 gene, but maintenance of a single fixed copy of the inhibitory LILRB3 gene.. Analysis of mRNA expression in the major fractions of PBMCs showed that LILRA6 is primarily expressed in monocytes, similarly to LILRB3, and its expression level correlates with copy number of the gene. We suggest that the LILRA6 CNV may influence the level of the activating receptor on the cell surface, potentially affecting signaling upon LILRB3/A6 ligation. The human KIR genes are arranged in at least six major gene-content haplotypes, all of which are combinations of four centromeric and two telomeric motifs. Several less frequent or minor haplotypes also exist, including insertions, deletions, and hybridization of KIR genes derived from the major haplotypes. These haplotype structures and their concomitant linkage disequilibrium among KIR genes suggest that more meaningful correlative data from studies of KIR genetics and complex disease may be achieved by measuring haplotypes of the KIR region in total. Previous studies of the KIR region have yielded detailed information about KIR haplotype structures derived uniquely from complete phased genomic sequences, revealing substructures of known haplotypes and further defined linkage among the KIR genes. Taking into account the many reported correlations between KIR polymorphism and disease, there is some imperative to incorporate KIR haplotype structures, including potential intraregion epistasis, into the association studies so that causative variation at KIR can be identified. In addition, the repetitive gene content structure of the KIR region may contribute to rapid evolution through aberrant recombination mechanisms, possibly driven by the immune function of KIR and providing further impetus towards understanding overall genomic region variation. Towards that end, a KIR haplotyping method developed by our collaborators that reports unambiguous combinations of KIR gene-content haplotypes, including both phase and copy number for each KIR was utilized. A total of 37 different gene content haplotypes were detected from 4,512 individuals and new sequence data was derived from haplotypes where the detailed structure was not previously available. An additional 10 haplotypes were detected in single copy but were not confirmed by sequencing. The 37 KIR haplotypes were sorted into 10 types of structural alterations, including gene deletions, insertions, and hybridizations, which together suggest a number of recombination events that might have occurred during KIR evolution. These new structures suggest a number of specific recombinant events during the course of KIR evolution, and add to an expanding diversity ofpotential n"
1 ZIA BC011058-06,"Immunization with live, replication-competent Ad-HIV or Ad-SIV envelope recombinant vaccines primes strong antibody responses that develop following administration of booster immunizations with envelope protein. These antibodies display a variety of functional activities. The most desirable for an HIV/AIDS vaccine is neutralizing activity that is able to prevent infection following exposure to the virus. We have elicited such antibodies in the rhesus macaque model that conferred apparent sterilizing immunity following challenge with an HIV/SIV chimeric SHIV virus. Our vaccine regimen also elicits antibodies with other functional activities mediated by Fc-receptor bearing cells such as NK cells. HIV/SIV infection is initially manifested as small foci of infected cells. Within 2 to 6 days, virus spreads from these cell foci to draining lymph nodes, subsequently leading to systemic infection. These additional functional activities can help control of the initial viral burden by limiting the spread of virus from these foci of infection. Such activities include antibody dependent cellular cytotoxicity (ADCC), and antibody dependent cell-mediated viral inhibition (ADCVI). Our recent studies demonstrate that these non-neutralizing antibody activities are correlated with lower viral burdens. Since HIV is transmitted mainly at rectal/genital mucosal sites, a key goal of HIV vaccine development is to elicit mucosal immunity. The Ad-recombinant prime/protein boost strategy induces antibodies in mucosal secretions which can inhibit transcytosis of SIV across an epithelial cell barrier, suggesting another mechanism which may contribute to protection. We have shown that vaccine-elicited viral-specific mucosal IgA antibodies are correlated with delayed infection following challenge with infectious SIV. The goal of vaccination is to develop immune memory. We have developed methodology to investigate memory B cells, which secrete antibodies. The ability of vaccines to elicit long lasting memory B cells is a critical property if immunization is to provide long-lasting, and potentially life-long protection. We have comprehensively investigated the dynamics of memory B cells in blood and tissues of SIV-infected rhesus macaques during treatment and therapeutic immunization. The knowledge gained will facilitate our further design and evaluation of vaccine strategies. We have shown that the quality of the antibody response and the level of anamnestic response following viral exposure are key features that impact a protective outcome. Overall, our recent studies continue to demonstrate that our vaccine strategy induces long-lasting, high-titered antibodies with a spectrum of activities both in serum and mucosal secretions, which together contribute to strong protection against viral challenge in non-human primate models. These findings have advanced the approach toward phase I clinical trials of the HIV/AIDS vaccine."
1 ZIA BC011426-02,"We have a long-standing interest in HIV-1 reverse transcriptase (RT) and, more recently, have begun work on another essential viral enzyme, integrase (IN). Although much of our work is focused on understanding the mechanisms that underlie drug resistance, and using that information to develop more effective anti-HIV drugs, we are, in both the RT and IN projects, doing experiments that are intended to better understand the roles that these enzymes play in viral replication. We are also using redirected HIV integration as a tool to investigate chromatin structure and function. BACKGROUND: HIV-1 is the causative agent of AIDS. The three viral enzymes - RT, IN, and protease (PR) - have essential roles in the replication of HIV-1 and are the targets for all of the most potent anti-HIV drugs. Although considerable progress has been made in treating HIV-infected patients with three- and four-drug regimens, there is an immediate need for the development of effective ways to prevent new infections. A potent preventive vaccine would be ideal; however, despite a huge effort, the goal of developing an effective vaccine remains elusive. In the absence of an effective vaccine, reducing the transmission of HIV-1 must rely on barrier methods and/or drug treatments. There are two ways that anti-HIV drugs can be used to reduce viral transmission: (1) effective therapy in infected patients can reduce the viral load, making it less likely that an infected individual will transmit the virus to a partner; and (2) treating the uninfected partner with an anti-HIV drug can block transmission. Because most new infections are caused by a single virus, blocking transmission is an attractive option and there is now good evidence that giving an anti-HIV drug to the uninfected partner can significantly reduce viral transmission if the uninfected partner is compliant. Because of the problem of drug resistance, it would be better to use drugs with nonoverlapping resistance profiles for treatment and prophylaxis. Treatment would have to be long term and, for this reason, drug toxicity is an important consideration, which argues against the use of nucleoside RT inhibitors (NRTIs). It would also be better to block infection before the viral DNA is integrated, which argues against the use of PR inhibitors. Therefore, the two remaining options among the major classes of anti-HIV drugs are nonnucleoside RT inhibitors (NNRTIs) and IN strand-transfer inhibitors (INSTIs). We are using a combined approach that involves structural analysis, biochemistry, virology, modeling, toxicity testing, and chemistry to design, synthesize, and evaluate new NNRTIs and INSTIs. We have made good progress in developing new compounds that are effective against the wild-type (WT) and common drug-resistant viruses and that have good therapeutic indexes in tests done in cultured cells. Our progress with the IN research is reported below; progress with the HIV-1 RT research is reported separately for Project ZIA BC 010481. HIV-1 IN: Like RT, HIV-1 IN is an important drug target; however, as is the case for all anti-HIV drugs, treatment with INSTIs leads to resistance. We are making good progress on two fronts: understanding how mutations in IN confer resistance to the currently available compounds, and developing new INSTIs that are effective against the common drug-resistance mutations. Dr. Terry Burke is synthesizing new anti-IN compounds; Dr. Yves Pommier is using biochemical assays to test Dr. Burke's anti-IN compounds in vitro (using purified recombinant IN); and we are testing how the new inhibitors affect viral replication and measuring their toxicity in cultured cells. Until quite recently, we had no structural information to guide the development of IN inhibitors. However, Dr. Peter Cherepanov has obtained high-resolution structures of full-length foamy virus (FV) IN in complexes with both DNA substrates and anti-IN drugs. Dr. Cherepanov has joined our collaborative effort and has "
1 ZIA CP010121-18,"Ongoing and planned studies include evaluation of populations exposed to benzene, chlorinated solvents, organochlorines, disinfection byproducts. polycyclic aromatic hydrocarbons, arsenic, formaldehyde, diesel exhaust, coal combustion products, and selected pesticides. On-going case-control studies of stomach, esophagus, brain, bladder, renal cell, thyroid, prostate and breast cancer, NHL, and benzene-induced hematotoxicity and hematologic malignancies and cohort studies of women in China and agricultural workers in the United States are evaluating a range of potential genetic risk factors and their interaction with occupational and environmental exposures. Many of these studies are also collecting tumor samples for future molecular analyses."
1 ZIA CP010152-14,"The Prostate, Lung, Colorectal and Ovarian Cancer (PLCO) Screening Trial is a large randomized trial to determine if screening for these cancers reduces mortality.  The Trial is carried out by the NCI under contract with investigators at ten clinical centers in the United States.  The study includes approximately 155,000 volunteers (recruited from 1993 through 2001, ages 55-74, equally distributed to the screening and control arms of the Trial).  The PLCO Etiology and Early Markers Study (EEMS) supports etiologic and early detection studies of cancers and other conditions.  EEMS uses data and samples collected in the context of the PLCO Trial including:1.  Baseline demographic and risk factor information on all participants,2.  Food Frequency Questionnaires(FFQ) on all participants3.  Fractionated blood specimens at each of six screening rounds from screened participants,4.  Buccal cell samples from control participants, and5.  Information on all-cancer incidence and selected other medical conditions.Investigations in PLCO EEMS have shown dietary-related factors associated with adenoma risk, including dietary fiber, meat cooking practices, serum selenium, low calcium intake, and a gene variant in the calcium-sensing receptor.  Tobacco use was strongly related to adenoma risk, with evidence of risk modification by genes involved in the metabolism of PAH and aromatic amine constituents of tobacco smoke.  Other factors associated with risk of colorectal adenoma included insulin-like growth factors and selected DNA repair-related polymorphisms.  Prostate cancer risk was related to vegetable intake, particularly cruciferous vegetables, while dietary and serum lycopene were unrelated to risk.  Supplemental vitamin E and serum alpha-tocopherol were related to risk only in smokers, consistent with other reports; serum selenium was also related to risk in smokers only. High-temperature cooked meat containing 2-amino-1-methyl-6-phenylimidazo[4,5-b]pyridine (PhIP) led to increased risk, while only the highest levels of insulin-like growth factor-1 (IGF-1) were related to prostate cancer.  Genetic studies of candidate genes in the PLCO Trial have revealed associations with SNPs in SHBG and risk of prostate cancer.  Through the Breast and Prostate Cancer Cohort Consortium (BPC3) are evaluating prostate and breast cancer risks related to gene variants in steroid hormone and insulin-like growth factor pathways.  Investigations in BPC3 and the Cancer Genetic Markers of Susceptibility (CGEMS) project are identifying prostate cancer risks associated with gene variants in the 8q24 region.  Colon adenoma studies are now being expanded to consider the etiology of colon cancer, also in collaboration with other research groups.  Genome wide association studies (GWAS) have been condicted for canccers of the lymphoma, kidney, pancreas, bladder, prostate, breast, and lung."
1 ZIA CP010170-13,"1. We completed analysis of the main case-control study and published approximately 50 reports in peer-reviewed journals.   2. We demonstrated that the patterns of risk vary according to the subtype of lymphoma.   3. We showed that genetic risk factors for occurrance of NHL also predicted survival; We're continuing to explore other subtypes to compare the patterns of etiology and survival.   4. To conduct a GWAS and to study the genetic polymorphism with more power, we are pooling data within Interlymph. 5. We continued to collaborate with InterLymph and we reported on the pooled estimates for overweight, sunlight, hepatitis C virus, hair dyes, and reproductive history. 6. We combined environmental data from other sources with study data to continue to investigate environmental risks. This work is ongoing."
1 ZIA DA000175-19,"The Treatment Section continues its long-term projects to improve treatment for substance dependence through behavioral, pharmacologic, and combined behavioral and pharmacologic interventions.    We completed a clinical trial examining the effectiveness of individualized methadone dosages of 100 to 190 mg/day, compared in a randomized, double-blind design with fixed dosages of 100 mg/day.  Surprisingly, polydrug use (effect-size h = .30) and heroin craving (effect-size d = .87) were significantly greater in the individualized high-dose group than in the fixed-dose group, with no trend toward lower heroin use in the individualized high-dose group.  This counterintuitive finding requires replication, but supports the need for additional controlled studies of high-dose methadone.    We also completed a double-blind interventional study of propranolol on cue-induced cocaine craving, in which a single administration of propranolol was intended to block reconsolidation of cocaine-associated emotional responses, thereby leading to an enduring reduction in cue-induced craving.  Again, the results were unexpected.  Cue reactivity, as assessed by craving scales and physiological responses, was unexpectedly greater in the propranolol group than in the placebo group.  This counter-hypothesized group difference was present both acutely after propranolol administration and during the subsequent test sessions. Our results do not support the use of propranolol for cue-induced cocaine craving in opioid-maintained patients.    We also developed and deployed a video-based smartphone-delivered mobile HIV Risk Reduction (mHIVRR) intervention.  We developed 3 video modules that consisted of a 10-minute HIVRR video, 11 acceptability questions, and 3 knowledge questions and deployed them as a secondary study within a larger study of ecological momentary and geographical momentary assessment.  All 24 individuals who remained in the main study long enough completed the mHIVRR secondary study. All 3 videos met our a priori criteria for acceptability as is in the population: they achieved median scores of &#8804;2.5 on a 5-point Likert scale; &#8804;20% of individuals gave them the most negative rating on the scale; and a majority of individuals stated they would not prefer other formats over video-based smartphone-delivered (all p<0.05). Additionally, all of our video modules met our a priori criteria for feasibilty: &#8804;20% of data were missing due to participant noncompliance and &#8804;20% were missing due to technical failure.  We concluded that video-based mHIVRR education delivered via smartphone is acceptable and feasible, and may increase HIV/STD risk reduction knowledge.  Future studies, with pre-intervention assessments of knowledge and random assignment, are needed to confirm these findings.    Finally we continue to develop Geographical Momentary Assessment (GMA), a descriptive approach to better measure and understand the relationships among mood, drug use, and environmental exposure to psychosocial stressors. We remain committed to transforming description into intervention. For example, we have shown that electronic-diary studies can provide amazing insight into the daily lives of substance abusers during treatment and data that are sensitive to behavioral changes during even brief periods of abstinence. The technologies that enable us to collect data on drug use, craving, and stress in the field may also be used for delivery of treatment in the field, perhaps in response to the patients own self-reported behaviors or previously identified triggers."
1 ZIC BC010685-09,"The Postmortem Pathology Section provides a complete, 24 hour per day, 365 days per year service in autopsy pathology for the Clinical Center. All patients on protocols for any of the Institutes or the Clinical Center may have an autopsy performed by the Laboratory of Pathology at the discretion of the principle investigator. The results from autopsies are used to assess treatment response, to answer clinical questions at the time of death, to identify pathology that was unknown or misdiagnosed prior to death, and to provide for hospital and protocol quality assurance. In addition, when the use and study of human pathological material is requested by research staff of any of the categorical institutes, the Postmortem Section makes every effort to collaborate with and/or supply the researchers with the human tissues upon approved request. (The Laboratory of Pathology has a standard procedure for tissue requests.) The autopsy material is utilized by NIH staff and fellows for research projects involving clinicopathological correlation and characterization of disease processes. Currently, several projects are on-going: clinical-pathological studies in dementia; culture of tumor cells from post-mortem tumor specimens following rapid autopsy; MRI correlations with normal tissue and de-myelinating disease (multiple sclerosis); investigation into Job syndrome and chronic granulomatous disease and complications of graft-versus-host disease. A partial database of major autopsy findings from 1953 through the present is available and all findings from March, 1999 on are available on-line through the Laboratory of Pathology's Information System. This system contains the full text of all autopsy reports. Texts of final reports are also available in the Clinical Research Information System (CRIS) after sign-out. In addition to its primary clinical responsibilities and research support function, the Post-mortem Pathology section is responsible for training pathology residents in the art and science of autopsy pathology. Diseases with deaths investigated in 2011 include AIDS, hematological malignancies, melanoma, gliomas, non-AIDS immunodeficiencies, viral hepatitis, and aplastic anemia."
1 ZID AI009001-05,"The Regulatory Compliance and Human Subjects Protection Branch (RCHSPB) supported the conduct of 192 clinical trials in FY13 by providing an array of services to ensure that FDA and other DHHS regulations were fulfilled to include investigational drug management, institutional drug management, institutional review board management, data and safety board management, clinical safety reporting, and clinical trial monitoring for study compliance.  These activities constitute a collective safety system to protect research participants and enhance the integrity of study conduct for NIAID sponsored research.  While many of these activities took place within the context of the traditional NIAID intramural program conducted at the NIH Clinical Center, several of the actions assisted in the accomplishment of larger NIAID actions conducted through NIAID ICERs (International Centers for Excellence in Research), disease specific networks (Influenza Research Collaboration), and programmatic networks (DoD Infectious Disease Clinical Research Program (IDCRP) and the South East Asia Research Network).   Moreover, these activities were conducted with a focus on coordination of activities by the respective regulatory functions in an effort to promote the timely and effective operation of the research enterprise to include the intramural research programs in HIV, biological defense, and emerging infectious diseases."
2 P30 AI027757-26-7307,"PROJECT SUMMARY (See instructions):  The mission of the UW/FHCRC CFAR Developmental Core is to create a generation of young, innovative, interdisciplinary HIV/AIDS researchers and to foster collaboration among UW/FHCRC CFAR investigators. This mission is articulated through three specific aims, the first of which is to provide research support and mentoring to junior investigators at institutions affiliated with the UW/FHCRC CFAR. Our New Investigator Awards (NIAs), which have successfully fostered the careers of 62 HIV/AIDS investigators since the program's beginning, will continue with modifications to prioritize applications in areas of importance to CFAR's Strategic Research priorities each year and further enhance mentorship through facilitated interawardee networking. Trainee Support Grants (TSGs) used to promote new collaborations will be continued. Additionally, the Core coordinates and collaborates with other CFAR Cores for more specialized developmental award programs, including International Pilot Awards (International Core) and HIV-Associated Malignancy Awards (AIDS-Associated Infections and Malignancies Core); and with OAR, IAS, two other CFARS, and NIH for the Creative and Novel Ideas in HIV Research (CNIHR) program. The second aim is to enhance career development, communication among investigators, and multidisciplinary research by sponsoring an annual UW/FHCRC CFAR Symposium. The third aim is to provide initial support for HIV/AIDS research in important new research areas (Emerging Opportunity Grants [EOGs]). Innovative aspects of this proposal include enhancing mentorship, a proposed collaboration with the International Core for a Mentored International Investigator Award (MHA), holding a Mock"
2 P30 AI027757-26-7309,"PROJECT SUMMARY (See instructions):  A critical challenge to understanding, preventing and treating HIV and HIV-related diseases is the need for human clinical specimens and data from individuals with specific clinical and epidemiologic characteristics, and access to new, innovative laboratory tools needed to analyze biological specimens. The mission of the Clinical and Retrovirology Research Core (CRRC), a fusion of the Clinical Research and Retrovirology Cores, is to support access by local, regional and international investigators to clinical specimens, data and the assays they need to conduct clinical and translational HIV research projects. To accomplish this, the CRRC has developed specific resources to link participants recruited through the major UW-associated HIV clinics in Seattle (or samples and data from them) to individual HIV investigators. The CRRC will accomplish its mission in five ways: First, for investigators seeking eligible research subjects to enroll in specific studies, the CRRC will continue the highly successful Research Referral Service. Second, for translational investigators seeking human specimens, the CRRC will use two approaches with complementary strengths: 1) a more limited version of the existing HIV Specimen Repository with prospective follow-up and routine specimen and data collection, and 2) an enhanced version of the existing Special Specimen Collection Service with specific project-directed collection of specimens and data. Third, to address the need for control specimens from HIV-negative persons, the CRRC will establish a new registry of HIV negative patients interested in participating in HIV research studies. Fourth, to support laboratory analyses for specific HIV studies, the CRRC will provide basic testing and develop specialized laboratory assays required for specific HIV studies. Finally, to accelerate the pace of planned studies and stimulate new directions of research, the CRRC will create and strengthen linkages with other UW CFAR cores and other CFARs (CNICS). Specifically, the CRRC will coordinate regular meetings with the immunology, clinical epidemiology and computational biology cores to scrutinize and integrate requests for services made to any of the cores and maximize efficient and novel uses of samples and laboratory testing capacity."
2 P30 AI027757-26-7310,"PROJECT SUMMARY (See instructions):  The UW-FHCRC CFAR International Core strives to optimize efficiencies by leveraging diverse global HIV research projects, increasing collaborations and networking, mentoring new US and international investigators, optimizing infrastructure in international settings, and facilitating new research directions. During the past decades. International Core researchers have contributed substantive research to identify effective HIV interventions. In the new 5-year cycle, the International Core is poised to develop a new portfolio of collaborative implementation research that will translate efficacy research to implementation scale-up. The Core will foster synergies between ongoing NIH-supported HIV research projects, promote demonstration projects of interventions and facilitate training and mentorship to determine cost-effectiveness as interventions are implemented. Our specific aims are: AIM 1: To facilitate research to address cutting-edge global HIV issues. We will emphasize implementation science in pilot awards, and promote research on combination HIV prevention, chronic treatment, and vulnerable populations. We will establish a new sub-Core on Economic Evaluation, partnering with the Bill and Melinda Gates Foundation to determine sustainability and cost considerations for implementation. AIM 2: To strategically expand and leverage collaborations and research projects. We will extend collaborations from mature partners (Kenya, Peru) to new partners including regional neighbor countries; in addition, we will leverage activities of relevant UW DGH Centers (HAI, l-TECH, Global WACh) and Seattle global health organizations (BMGF, PATH) to facilitate research by CFAR investigators. We will provide infrastructure and co-develop training for international sites with other UW-FHCRC CFAR Cores, including SPRC, Biostatistics and AAlMS. We will support inter-CFAR initiatives: specifically, the Women and HIV and sub-Saharan Africa inter-CFAR collaborations. AIM 3: To sustain investment in new investigators and broaden the scope of international partnerships. We will provide support for trainees and join with the Developmental core to support a new Mentored International Investigator Award. We will provide mentoring workshops, and provide accessible mentorship to new international trainees. During the past 5 years, the International Core has realized appreciable return on investment in publications, grants, and new global HIV research leaders. We anticipate expanded relevance and efficiencies directly paralleling needs as the global HIV response transitions from emergent to sustainable strategies"
