YEAR,PROJECT_NUMBER_BASE,APPLICATION_ID,ACTIVITY_CODE,MECHANISM,PROJECT_TITLE,INVESTIGATOR,CONG_DISTRICT,LOCATION,INSTITUTION,PROJECT_TYPE,TOTAL_SIC_DOLLARS,TOTAL_SPC_DOLLARS,TOTAL_INTERNATIONAL_DOLLARS,OBLIGATED_DOLLARS,AIDS_DOLLARS,AIDS_PERCENT,AWARD_COUNT,PROJECT_COUNT,APPL_ID,I2_PROJECT_NUM,I2_SUBPROJECT_ID,FUT_YRS,PROJECT_PERIOD_START_DATE,PROJECT_PERIOD_END_DATE,APPL_PERIOD_START_DATE,APPL_PERIOD_END_DATE,EXPIRE_FY,SUB_PROJECT_FLAG,PROJECT_FLAG,I2_TOTAL_OBLIGATION,STUDY_SECTION,PERCENTILE,PRIORITY_SCORE
2013,1 L30 MHTAP806-01-0001                  ,,L30                                     ,CON                                     ,No Project Title                                                                                                                                                                                                                                               ,No Investigator                                                                                                                                                                                                                                                ,No District                                                                                                                                                                                                                                                    ,No Location                                                                                                                                                                                                                                                    ,No Institution                                                                                                                                                                                                                                                 ,Project Type 1                                                                                                                                                                                                                                                 ,,81119,,81119,81119,,,1,,                           ,    ,,,,,,,,,,    ,,
2013,1 L40 MHTAP887-01-0001                  ,,L40                                     ,CON                                     ,No Project Title                                                                                                                                                                                                                                               ,No Investigator                                                                                                                                                                                                                                                ,No District                                                                                                                                                                                                                                                    ,No Location                                                                                                                                                                                                                                                    ,No Institution                                                                                                                                                                                                                                                 ,Project Type 1                                                                                                                                                                                                                                                 ,,41430,,41430,41430,,,1,,                           ,    ,,,,,,,,,,    ,,
2013,1 NLM LM201388-01-0001                  ,,NLM                                     ,INT                                     ,No Project Title                                                                                                                                                                                                                                               ,No Investigator                                                                                                                                                                                                                                                ,No District                                                                                                                                                                                                                                                    ,No Location                                                                                                                                                                                                                                                    ,No Institution                                                                                                                                                                                                                                                 ,Project Type 1                                                                                                                                                                                                                                                 ,,1040000,,1040000,1040000,,,,,                           ,    ,,,,,,,,,,    ,,
2013,1 NLM LM201388-02-0002                  ,,NLM                                     ,INT                                     ,No Project Title                                                                                                                                                                                                                                               ,No Investigator                                                                                                                                                                                                                                                ,No District                                                                                                                                                                                                                                                    ,No Location                                                                                                                                                                                                                                                    ,No Institution                                                                                                                                                                                                                                                 ,Project Type 1                                                                                                                                                                                                                                                 ,,956000,,956000,956000,,,,,                           ,    ,,,,,,,,,,    ,,
2013,1 NLM LM201388-03-0003                  ,,NLM                                     ,INT                                     ,No Project Title                                                                                                                                                                                                                                               ,No Investigator                                                                                                                                                                                                                                                ,No District                                                                                                                                                                                                                                                    ,No Location                                                                                                                                                                                                                                                    ,No Institution                                                                                                                                                                                                                                                 ,Project Type 1                                                                                                                                                                                                                                                 ,,1800000,,1800000,1800000,,,,,                           ,    ,,,,,,,,,,    ,,
2013,1 NLM LM201388-04-0004                  ,,NLM                                     ,INT                                     ,No Project Title                                                                                                                                                                                                                                               ,No Investigator                                                                                                                                                                                                                                                ,No District                                                                                                                                                                                                                                                    ,No Location                                                                                                                                                                                                                                                    ,No Institution                                                                                                                                                                                                                                                 ,Project Type 1                                                                                                                                                                                                                                                 ,,830000,,830000,830000,,,,,                           ,    ,,,,,,,,,,    ,,
2013,1 NLM LM201388-05-0005                  ,,NLM                                     ,INT                                     ,No Project Title                                                                                                                                                                                                                                               ,No Investigator                                                                                                                                                                                                                                                ,No District                                                                                                                                                                                                                                                    ,No Location                                                                                                                                                                                                                                                    ,No Institution                                                                                                                                                                                                                                                 ,Project Type 1                                                                                                                                                                                                                                                 ,,2008845,,2008845,2008845,,,,,                           ,    ,,,,,,,,,,    ,,
2013,1 NLM LM201388-06-0006                  ,,NLM                                     ,INT                                     ,No Project Title                                                                                                                                                                                                                                               ,No Investigator                                                                                                                                                                                                                                                ,No District                                                                                                                                                                                                                                                    ,No Location                                                                                                                                                                                                                                                    ,No Institution                                                                                                                                                                                                                                                 ,Project Type 1                                                                                                                                                                                                                                                 ,,135000,,135000,135000,,,,,                           ,    ,,,,,,,,,,    ,,
2013,1 NLM LM201388-07-0007                  ,,NLM                                     ,INT                                     ,No Project Title                                                                                                                                                                                                                                               ,No Investigator                                                                                                                                                                                                                                                ,No District                                                                                                                                                                                                                                                    ,No Location                                                                                                                                                                                                                                                    ,No Institution                                                                                                                                                                                                                                                 ,Project Type 1                                                                                                                                                                                                                                                 ,,450000,,450000,450000,,,,,                           ,    ,,,,,,,,,,    ,,
2013,1 R01 HDPEFY13-01                       ,,R01                                     ,RPGA                                    ,No Project Title                                                                                                                                                                                                                                               ,No Investigator                                                                                                                                                                                                                                                ,No District                                                                                                                                                                                                                                                    ,No Location                                                                                                                                                                                                                                                    ,No Institution                                                                                                                                                                                                                                                 ,Project Type 1                                                                                                                                                                                                                                                 ,,2980000,,2980000,2980000,,,,,                           ,    ,,,,,,,,,,    ,,
2013,1 RMS AA013RMS-01                       ,,RMS                                     ,RMS                                     ,No Project Title                                                                                                                                                                                                                                               ,No Investigator                                                                                                                                                                                                                                                ,No District                                                                                                                                                                                                                                                    ,No Location                                                                                                                                                                                                                                                    ,No Institution                                                                                                                                                                                                                                                 ,Project Type 1                                                                                                                                                                                                                                                 ,,519482,,519482,519482,,,,,                           ,    ,,,,,,,,,,    ,,
2013,1 RMS AI000000-13                       ,,RMS                                     ,RMS                                     ,No Project Title                                                                                                                                                                                                                                               ,No Investigator                                                                                                                                                                                                                                                ,No District                                                                                                                                                                                                                                                    ,No Location                                                                                                                                                                                                                                                    ,No Institution                                                                                                                                                                                                                                                 ,Project Type 1                                                                                                                                                                                                                                                 ,4152646,8402041,109245,8402041,8402041,,,,,                           ,    ,,,,,,,,,,    ,,
2013,1 RMS AI011074-13                       ,,RMS                                     ,RMS                                     ,No Project Title                                                                                                                                                                                                                                               ,No Investigator                                                                                                                                                                                                                                                ,No District                                                                                                                                                                                                                                                    ,No Location                                                                                                                                                                                                                                                    ,No Institution                                                                                                                                                                                                                                                 ,Project Type 1                                                                                                                                                                                                                                                 ,1510815,1310565,363435,1310565,1310565,,,,,                           ,    ,,,,,,,,,,    ,,
2013,1 RMS AI011075-13                       ,,RMS                                     ,RMS                                     ,No Project Title                                                                                                                                                                                                                                               ,No Investigator                                                                                                                                                                                                                                                ,No District                                                                                                                                                                                                                                                    ,No Location                                                                                                                                                                                                                                                    ,No Institution                                                                                                                                                                                                                                                 ,Project Type 1                                                                                                                                                                                                                                                 ,40363,45901,9315,45901,45901,,,,,                           ,    ,,,,,,,,,,    ,,
2013,1 RMS AI011077-13                       ,,RMS                                     ,RMS                                     ,No Project Title                                                                                                                                                                                                                                               ,No Investigator                                                                                                                                                                                                                                                ,No District                                                                                                                                                                                                                                                    ,No Location                                                                                                                                                                                                                                                    ,No Institution                                                                                                                                                                                                                                                 ,Project Type 1                                                                                                                                                                                                                                                 ,36337,55908,,55908,55908,,,,,                           ,    ,,,,,,,,,,    ,,
2013,1 RMS AI012160-13                       ,,RMS                                     ,RMS                                     ,No Project Title                                                                                                                                                                                                                                               ,No Investigator                                                                                                                                                                                                                                                ,No District                                                                                                                                                                                                                                                    ,No Location                                                                                                                                                                                                                                                    ,No Institution                                                                                                                                                                                                                                                 ,Project Type 1                                                                                                                                                                                                                                                 ,3430,3602,,3602,3602,,,,,                           ,    ,,,,,,,,,,    ,,
